model,chi2_response_freq,chi2_p,cramers_v,human_agree_prop,ai_agree_prop,human_extreme_prop,ai_extreme_prop,human_midpoint_prop,ai_midpoint_prop,human_entropy_bits,ai_entropy_bits,human_forward_mean_raw,ai_forward_mean_raw,human_reverse_mean_raw,ai_reverse_mean_raw,human_reverse_mean_scored,ai_reverse_mean_scored,human_mean_pairwise_profile_distance,ai_mean_pairwise_profile_distance,chi2_p_fdr
claude-haiku-4.5,385724.1283751513,0.0,0.12290489963439742,0.5230723203176334,0.608424,0.31756043003537027,0.038376,0.2094626155625191,0.380384,2.2351466330172456,1.245702094409384,3.504216072202483,3.6658576923076924,3.2597541190419603,3.6028375,2.7402458809580397,2.3971625,2.2874260839442426,0.5147734233542887,0.0
claude-sonnet-4.6,319679.02003150614,0.0,0.11188912071358578,0.5230723203176334,0.595782,0.31756043003537027,0.033068,0.2094626155625191,0.344276,2.2351466330172456,1.4024314765316612,3.504216072202483,3.481303846153846,3.2597541190419603,3.6638125,2.7402458809580397,2.3361875,2.2874260839442426,0.13350380297119147,0.0
deepseek-v3.2,133053.59894938473,0.0,0.07218452556942508,0.5230723203176334,0.76657,0.31756043003537027,0.347998,0.2094626155625191,0.158714,2.2351466330172456,1.793613292411301,3.504216072202483,4.134384615384615,3.2597541190419603,3.9004,2.7402458809580397,2.0996,2.2874260839442426,1.5248667585442606,0.0
gemini-3-flash-preview,223265.98402072996,0.0,0.09350655860852781,0.5230723203176334,0.853268,0.31756043003537027,0.375984,0.2094626155625191,0.103128,2.2351466330172456,1.5773618785778991,3.504216072202483,4.288523076923077,3.2597541190419603,4.073008333333333,2.7402458809580397,1.9269916666666667,2.2874260839442426,0.663217055792984,0.0
gemini-3.1-flash-lite-preview,314278.98669275024,0.0,0.11094007762695211,0.5230723203176334,0.761714,0.31756043003537027,0.11087,0.2094626155625191,0.176914,2.2351466330172456,1.449515719647231,3.504216072202483,3.762326923076923,3.2597541190419603,3.8594291666666667,2.7402458809580397,2.1405708333333333,2.2874260839442426,0.9534678759526272,0.0
gpt-5.4,85173.2833221193,0.0,0.0577540557642027,0.5230723203176334,0.656448,0.31756043003537027,0.247294,0.2094626155625191,0.132724,2.2351466330172456,1.8868511398081353,3.504216072202483,3.8126076923076924,3.2597541190419603,3.5630208333333333,2.7402458809580397,2.4369791666666667,2.2874260839442426,1.10086028832982,0.0
gpt-5.4-mini,742173.9552614996,0.0,0.17048400852397158,0.5230723203176334,0.912546,0.31756043003537027,0.048234,0.2094626155625191,0.08046,2.2351466330172456,0.7359147003400505,3.504216072202483,3.899807692307692,3.2597541190419603,4.0111375,2.7402458809580397,1.9888625,2.2874260839442426,0.5941636686747609,0.0
gpt-5.4-nano,354446.32672412443,0.0,0.11781647731466388,0.5230723203176334,0.705778,0.31756043003537027,0.04245,0.2094626155625191,0.17959,2.2351466330172456,1.3988481001855542,3.504216072202483,3.767930769230769,3.2597541190419603,3.4608166666666667,2.7402458809580397,2.5391833333333333,2.2874260839442426,1.0188845892940288,0.0
