model,trait,human_n_used,ai_n_used,wasserstein,wasserstein_perm_p,energy_distance,ks_stat,ks_p,brown_forsythe_stat,brown_forsythe_p,human_skew,ai_skew,human_kurtosis,ai_kurtosis,wasserstein_perm_p_fdr,ks_p_fdr,brown_forsythe_p_fdr
gemini-3-flash-preview,Openness,5000,5000,0.8643800000000001,0.000999000999000999,0.9784674424833975,0.741,0.0,5515.962583811329,0.0,-0.4526061942184654,-1.9974861301514748,-0.08216865753026115,3.6753046129739033,0.000999000999000999,0.0,0.0
gemini-3.1-flash-lite-preview,Extraversion,5000,5000,0.3655399999999999,0.000999000999000999,0.3250689896006692,0.23519999999999996,3.95344888023701e-122,745.8971788543315,1.854930665465784e-158,0.07169483625900612,-0.6484834926699965,-0.7498433494140162,-1.3481840809313625,0.000999000999000999,4.16152513709159e-122,2.005330449152199e-158
gemini-3.1-flash-lite-preview,Emotional_Stability,5000,5000,0.7442,0.000999000999000999,0.7552007415250598,0.5554,0.0,4546.010882916766,0.0,0.0816122291684745,-1.1425199212958976,-0.5571273054121781,3.752757571674781,0.000999000999000999,0.0,0.0
gemini-3.1-flash-lite-preview,Agreeableness,5000,5000,0.5087999999999998,0.000999000999000999,0.5760236245155226,0.5666,0.0,4406.702959595914,0.0,-0.7098863200789783,2.0642744664373907,0.3759893774396681,3.128061555800313,0.000999000999000999,0.0,0.0
gemini-3.1-flash-lite-preview,Conscientiousness,5000,5000,0.7985399999999998,0.000999000999000999,0.8945751751529883,0.7064,0.0,6975.262251901895,0.0,-0.12651078135054503,-0.039400408003529064,-0.437180092220693,4.687022641458762,0.000999000999000999,0.0,0.0
gemini-3.1-flash-lite-preview,Openness,5000,5000,0.33492,0.000999000999000999,0.3916729043474925,0.4118,0.0,3200.5468386900216,0.0,-0.4706888854030364,1.591650975044925,0.00856894280912135,2.1848070926924175,0.000999000999000999,0.0,0.0
gpt-5.4,Extraversion,5000,5000,0.7135600000000002,0.000999000999000999,0.6712068056865933,0.5482,0.0,3945.781513190754,0.0,0.11641034856679347,2.9026930615965862,-0.7137601103465423,7.541422894230255,0.000999000999000999,0.0,0.0
gpt-5.4,Emotional_Stability,5000,5000,0.32238000000000006,0.000999000999000999,0.2794101358218775,0.20140000000000002,2.2867002287053862e-89,32.31094514191687,1.3505331791978003e-08,0.11257494856258457,-0.3096946345188758,-0.6509635639656111,-1.6784514371934538,0.000999000999000999,2.3453335679029604e-89,1.3505331791978003e-08
gpt-5.4,Agreeableness,5000,5000,0.9147199999999999,0.000999000999000999,0.9703590510733643,0.7982,0.0,4691.316150576416,0.0,-0.7218496340440776,-0.3232083237420478,0.37869483491178757,-0.7863355082971193,0.000999000999000999,0.0,0.0
gpt-5.4,Conscientiousness,5000,5000,0.7408599999999999,0.000999000999000999,0.8271753816452712,0.7004,0.0,6595.278919390686,0.0,-0.08186873488799941,1.0638885339504345,-0.47886846628069435,2.1016187948879086,0.000999000999000999,0.0,0.0
gpt-5.4,Openness,5000,5000,0.41011999999999993,0.000999000999000999,0.47405618232441604,0.4644,0.0,3093.9106250665172,0.0,-0.41295965713618504,0.38207429322193504,-0.23872892087285802,-0.580599457558372,0.000999000999000999,0.0,0.0
gpt-5.4-mini,Extraversion,5000,5000,0.938,0.000999000999000999,0.8605975505426449,0.5602,0.0,3450.6049242532526,0.0,0.10606049243745383,-2.067807329745582,-0.7064438762701588,4.612653318924841,0.000999000999000999,0.0,0.0
gpt-5.4-mini,Emotional_Stability,5000,5000,1.0609600000000001,0.000999000999000999,1.02510346794848,0.6932,0.0,5852.459840359212,0.0,0.11750401095734361,-2.667815798247661,-0.6048769300610961,5.847763289181486,0.000999000999000999,0.0,0.0
gpt-5.4-mini,Agreeableness,5000,5000,0.5164999999999997,0.000999000999000999,0.5627207549042418,0.5694,0.0,5161.781937329168,0.0,-0.6700947646707051,-3.868623999592797,0.19187045081908272,26.054572043251937,0.000999000999000999,0.0,0.0
gpt-5.4-mini,Conscientiousness,5000,5000,0.7664000000000001,0.000999000999000999,0.8416682862030622,0.7166,0.0,8014.227035659924,0.0,-0.10631467200087955,-6.733392769865307,-0.4201433590079344,50.964531632589114,0.000999000999000999,0.0,0.0
gpt-5.4-mini,Openness,5000,5000,0.39669999999999994,0.000999000999000999,0.43451316205611085,0.3796,0.0,5296.514234835781,0.0,-0.5356872110679072,-2.6338960719069906,0.09373763398888979,19.26376660570209,0.000999000999000999,0.0,0.0
gpt-5.4-nano,Extraversion,5000,5000,0.2748,0.000999000999000999,0.24439188202556975,0.1662,7.99515872595022e-61,414.06920939357633,3.156583033311834e-90,0.09607478112361947,0.3844697871089332,-0.6930030431256822,-1.4115555580938108,0.000999000999000999,7.99515872595022e-61,3.3227189824335096e-90
gpt-5.4-nano,Emotional_Stability,5000,5000,0.43166000000000004,0.000999000999000999,0.39301241710663554,0.28080000000000005,7.626739156416348e-175,1698.365571005428,0.0,0.10584696238206136,-0.42049233109723194,-0.6078606480505044,-0.6310864881419804,0.000999000999000999,8.245123412341997e-175,0.0
gpt-5.4-nano,Agreeableness,5000,5000,0.5452,0.000999000999000999,0.5481703384897801,0.45280000000000004,0.0,6051.114272489263,0.0,-0.6660218288681802,-0.9713805432014859,0.27367051925785724,1.8830825179002089,0.000999000999000999,0.0,0.0
gpt-5.4-nano,Conscientiousness,5000,5000,0.7492,0.000999000999000999,0.8110666951613782,0.691,0.0,7049.542807774723,0.0,-0.0829628460827545,0.30006790596731625,-0.453107805815399,0.6247068097682598,0.000999000999000999,0.0,0.0
gpt-5.4-nano,Openness,5000,5000,0.42208,0.000999000999000999,0.4538985789799304,0.3638,5.155843297580536e-297,6647.517616369362,0.0,-0.4506412528700534,0.7356867523347181,-0.15865026086888312,2.068170019567451,0.000999000999000999,5.892392340092041e-297,0.0
