model,trait_corr_frobenius,trait_corr_matrix_r,item_corr_frobenius,item_corr_matrix_r,human_variance_explained_5f,model_variance_explained_5f,mean_abs_tucker_congruence,max_abs_tucker_congruence,n_used_human,n_used_ai,trait_corr_matrix_r_ci_low,trait_corr_matrix_r_ci_high,item_corr_matrix_r_ci_low,item_corr_matrix_r_ci_high,mean_abs_tucker_ci_low,mean_abs_tucker_ci_high,trait_corr_frobenius_perm_stat_diff,trait_corr_frobenius_perm_p,item_corr_frobenius_perm_stat_diff,item_corr_frobenius_perm_p,mean_abs_tucker_perm_stat_diff,mean_abs_tucker_perm_p,trait_corr_frobenius_perm_p_fdr,item_corr_frobenius_perm_p_fdr,mean_abs_tucker_perm_p_fdr
claude-haiku-4.5,1.365052207683564,-0.4641998157276442,13.259732825236478,0.4777270451516875,0.4269931327586049,0.7275540515446284,0.2978578151727933,0.908351233781084,1500,1500,-0.5439113738630375,-0.4509899474122074,0.4496938863035271,0.5194164302440543,0.28540834410197236,0.295706258388407,1.2213903970481021,0.004975124378109453,11.720983096735296,0.004975124378109453,-0.030653075848168898,1.0,0.004975124378109453,0.004975124378109453,1.0
claude-sonnet-4.6,0.6087025257497657,0.20387056348412608,,,0.4269931327586049,0.0,,,1500,1500,0.06951373048152336,0.35719722998065384,,,,,0.48754341641722526,0.004975124378109453,,0.004975124378109453,,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.005685856432125089
deepseek-v3.2,1.3879513840632478,0.15219022320991643,9.113935493162355,0.7334768952361383,0.4269931327586049,0.5208427099206167,0.40539608431407115,0.945455289144935,1500,1500,0.030933316093556863,0.25651364029355767,0.7012380957102843,0.7355388625434736,0.3903722126482566,0.4051404255642636,1.2487065296270452,0.004975124378109453,7.696459099955623,0.004975124378109453,0.07495694558423627,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.005685856432125089
gemini-3-flash-preview,0.9778066846875236,0.27473930510569367,,,0.4269931327586049,0.0,,,1500,1500,0.1764932023166179,0.28998759826542714,,,,,0.8654522311851269,0.004975124378109453,,0.004975124378109453,,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.005685856432125089
gemini-3.1-flash-lite-preview,1.863131715107191,-0.10503001464491951,,,0.4269931327586049,0.0,,,1500,1500,-0.209118480987694,-0.037838112803321514,,,,,1.835522198983308,0.004975124378109453,,0.004975124378109453,,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.005685856432125089
gpt-5.4,1.1500082192102539,-0.13300541708812627,,,0.4269931327586049,0.0,,,1500,1500,-0.19200273975474405,-0.04622574255669001,,,,,0.9779141583695776,0.004975124378109453,,0.004975124378109453,,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.005685856432125089
gpt-5.4-mini,1.9241039313899972,-0.3766169138682071,19.001849195812557,0.322536174889584,0.4269931327586049,0.7778538327240828,0.3319398783073332,0.9380693637183581,1500,1500,-0.4307504101612631,-0.33499956560978544,0.2777811288218154,0.3259375976749256,0.33536215549476495,0.3569570233013928,1.8240745983708773,0.004975124378109453,18.415819273407212,0.004975124378109453,,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.005685856432125089
gpt-5.4-nano,0.4565358323342091,0.1139766748967797,7.3475464768152525,0.637440031305467,0.4269931327586049,0.3324075088430663,0.28958763016279376,0.9516090661459214,1500,1500,-0.14203839537141413,0.2435476193332886,,,,,0.41776706905768857,0.004975124378109453,,0.004975124378109453,,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.005685856432125089
