model,cramers_v,chi2_p_fdr,ai_agree_prop,ai_extreme_prop,ai_midpoint_prop,ai_entropy_bits,ai_mean_pairwise_profile_distance
claude-haiku-4.5,0.12290489963439742,0.0,0.608424,0.038376,0.380384,1.245702094409384,0.5147734233542887
claude-sonnet-4.6,0.11188912071358578,0.0,0.595782,0.033068,0.344276,1.4024314765316612,0.13350380297119147
deepseek-v3.2,0.07218452556942508,0.0,0.76657,0.347998,0.158714,1.793613292411301,1.5248667585442606
gemini-3-flash-preview,0.09350655860852781,0.0,0.853268,0.375984,0.103128,1.5773618785778991,0.663217055792984
gemini-3.1-flash-lite-preview,0.11094007762695211,0.0,0.761714,0.11087,0.176914,1.449515719647231,0.9534678759526272
gpt-5.4,0.0577540557642027,0.0,0.656448,0.247294,0.132724,1.8868511398081353,1.10086028832982
gpt-5.4-mini,0.17048400852397158,0.0,0.912546,0.048234,0.08046,0.7359147003400505,0.5941636686747609
gpt-5.4-nano,0.11781647731466388,0.0,0.705778,0.04245,0.17959,1.3988481001855542,1.0188845892940288
