model,n_used_human,n_used_ai,trait_corr_matrix_r_ci_low,trait_corr_matrix_r_ci_high,item_corr_matrix_r_ci_low,item_corr_matrix_r_ci_high,mean_abs_tucker_ci_low,mean_abs_tucker_ci_high,trait_corr_frobenius_perm_stat_diff,trait_corr_frobenius_perm_p,item_corr_frobenius_perm_stat_diff,item_corr_frobenius_perm_p,mean_abs_tucker_perm_stat_diff,mean_abs_tucker_perm_p,trait_corr_frobenius_perm_p_fdr,item_corr_frobenius_perm_p_fdr,mean_abs_tucker_perm_p_fdr
claude-haiku-4.5,1500,1500,-0.5439113738630375,-0.4509899474122074,0.4496938863035271,0.5194164302440543,0.28540834410197236,0.295706258388407,1.2213903970481021,0.004975124378109453,11.720983096735296,0.004975124378109453,-0.030653075848168898,1.0,0.004975124378109453,0.004975124378109453,1.0
claude-sonnet-4.6,1500,1500,0.06951373048152336,0.35719722998065384,,,,,0.48754341641722526,0.004975124378109453,,0.004975124378109453,,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.005685856432125089
deepseek-v3.2,1500,1500,0.030933316093556863,0.25651364029355767,0.7012380957102843,0.7355388625434736,0.3903722126482566,0.4051404255642636,1.2487065296270452,0.004975124378109453,7.696459099955623,0.004975124378109453,0.07495694558423627,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.005685856432125089
gemini-3-flash-preview,1500,1500,0.1764932023166179,0.28998759826542714,,,,,0.8654522311851269,0.004975124378109453,,0.004975124378109453,,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.005685856432125089
gemini-3.1-flash-lite-preview,1500,1500,-0.209118480987694,-0.037838112803321514,,,,,1.835522198983308,0.004975124378109453,,0.004975124378109453,,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.005685856432125089
gpt-5.4,1500,1500,-0.19200273975474405,-0.04622574255669001,,,,,0.9779141583695776,0.004975124378109453,,0.004975124378109453,,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.005685856432125089
gpt-5.4-mini,1500,1500,-0.4307504101612631,-0.33499956560978544,0.2777811288218154,0.3259375976749256,0.33536215549476495,0.3569570233013928,1.8240745983708773,0.004975124378109453,18.415819273407212,0.004975124378109453,,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.005685856432125089
gpt-5.4-nano,1500,1500,-0.14203839537141413,0.2435476193332886,,,,,0.41776706905768857,0.004975124378109453,,0.004975124378109453,,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.005685856432125089
