group,model,trait,alpha,omega,alpha_ci_low,alpha_ci_high,omega_ci_low,omega_ci_high,human_alpha,human_omega,human_alpha_ci_low,human_alpha_ci_high,human_omega_ci_low,human_omega_ci_high,alpha_diff_ai_minus_human,omega_diff_ai_minus_human,n_used_human,n_used_ai,alpha_diff_ci_low,alpha_diff_ci_high,alpha_perm_p,omega_diff_ci_low,omega_diff_ci_high,omega_perm_p,alpha_perm_p_fdr,omega_perm_p_fdr
AI,claude-haiku-4.5,Agreeableness,0.6804178794904915,0.925051678530379,0.6706284751507889,0.8384881212756459,0.9335847939941918,0.9564192138576613,0.8524903278988193,0.8599662993163675,0.8370720172451936,0.8632167825503118,0.8466796197222279,0.8711393858719089,-0.1720724484083278,0.06508537921401147,,,,,,,,,,
AI,claude-sonnet-4.6,Agreeableness,0.06798989999776671,0.6470702902287035,-0.05447685672825685,0.1617137619355611,0.5696020018732284,0.7440963572755496,0.8524903278988193,0.8599662993163675,0.8370720172451936,0.8632167825503118,0.8466796197222279,0.8711393858719089,-0.7845004279010526,-0.21289600908766393,,,,,,,,,,
AI,deepseek-v3.2,Agreeableness,0.825225076057111,0.8327665010559797,0.8163152758099298,0.8404103402697,0.821774020383303,0.8505855571692447,0.8524903278988193,0.8599662993163675,0.8370720172451936,0.8632167825503118,0.8466796197222279,0.8711393858719089,-0.02726525184170825,-0.027199798260387764,,,,,,,,,,
AI,gemini-3-flash-preview,Agreeableness,0.6980362822473692,0.675324398213376,0.6669299364974542,0.7058485086126443,0.6820494122753177,0.7299098402833486,0.8524903278988193,0.8599662993163675,0.8370720172451936,0.8632167825503118,0.8466796197222279,0.8711393858719089,-0.15445404565145004,-0.1846419011029915,,,,,,,,,,
AI,gemini-3.1-flash-lite-preview,Agreeableness,0.8795368129451382,0.8941348868036412,0.8728128489928464,0.8933621676197201,0.8863126487882425,0.9080497516455466,0.8524903278988193,0.8599662993163675,0.8370720172451936,0.8632167825503118,0.8466796197222279,0.8711393858719089,0.027046485046318902,0.034168587487273694,,,,,,,,,,
AI,gpt-5.4,Agreeableness,0.554788678119512,0.5565482225636342,0.5369765435801517,0.5803395391817759,0.5651492947817336,0.6387229152432384,0.8524903278988193,0.8599662993163675,0.8370720172451936,0.8632167825503118,0.8466796197222279,0.8711393858719089,-0.29770164977930724,-0.30341807675273325,,,,,,,,,,
AI,gpt-5.4-mini,Agreeableness,0.8360305867126516,0.9434084454879026,0.7183180792601848,0.8381558490243504,0.899096737701633,0.9489158168723925,0.8524903278988193,0.8599662993163675,0.8370720172451936,0.8632167825503118,0.8466796197222279,0.8711393858719089,-0.016459741186167665,0.08344214617153511,,,,,,,,,,
AI,gpt-5.4-nano,Agreeableness,0.26953347421263063,0.2795610504130809,0.21883863871060294,0.3304634852802835,0.3084892397355332,0.3872722866936595,0.8524903278988193,0.8599662993163675,0.8370720172451936,0.8632167825503118,0.8466796197222279,0.8711393858719089,-0.5829568536861887,-0.5804052489032866,,,,,,,,,,
AI,claude-haiku-4.5,Conscientiousness,0.9135875828673713,0.9247726054176808,0.9078071422362795,0.9289992192084469,0.9218035208599445,0.9411628932923258,0.83421774114895,0.8344180098030979,0.8226267600442522,0.8459834650985639,0.826149389256718,0.84856750435816,0.07936984171842132,0.09035459561458292,,,,,,,,,,
AI,claude-sonnet-4.6,Conscientiousness,0.4578859974065086,,0.3544071344018029,0.48288750767595817,,,0.83421774114895,0.8344180098030979,0.8226267600442522,0.8459834650985639,0.826149389256718,0.84856750435816,-0.3763317437424414,,,,,,,,,,,
AI,deepseek-v3.2,Conscientiousness,0.8947827647621538,0.8979878564022595,0.8849797894375797,0.9055502685494731,0.8885273905122016,0.9095444770911993,0.83421774114895,0.8344180098030979,0.8226267600442522,0.8459834650985639,0.826149389256718,0.84856750435816,0.06056502361320382,0.06356984659916165,,,,,,,,,,
AI,gemini-3-flash-preview,Conscientiousness,0.294923381494406,0.43361689944666204,0.21684623385208568,0.3103916638848431,0.29400353361114345,0.5098079905966258,0.83421774114895,0.8344180098030979,0.8226267600442522,0.8459834650985639,0.826149389256718,0.84856750435816,-0.539294359654544,-0.40080111035643584,,,,,,,,,,
AI,gemini-3.1-flash-lite-preview,Conscientiousness,0.7995322747923221,0.8104383710836615,0.7779596853386945,0.8137959337672728,0.7850243458970979,0.8189868511201038,0.83421774114895,0.8344180098030979,0.8226267600442522,0.8459834650985639,0.826149389256718,0.84856750435816,-0.034685466356627837,-0.023979638719436425,,,,,,,,,,
AI,gpt-5.4,Conscientiousness,0.6804814744504253,0.7248499590585973,0.6581917462682148,0.7062914455551799,0.6377332506345358,0.746668197870742,0.83421774114895,0.8344180098030979,0.8226267600442522,0.8459834650985639,0.826149389256718,0.84856750435816,-0.1537362666985247,-0.1095680507445006,,,,,,,,,,
AI,gpt-5.4-mini,Conscientiousness,0.8718709437858342,,0.7363835048874743,0.889398699130337,,,0.83421774114895,0.8344180098030979,0.8226267600442522,0.8459834650985639,0.826149389256718,0.84856750435816,0.03765320263688421,,,,,,,,,,,
AI,gpt-5.4-nano,Conscientiousness,0.27239640428703504,0.34122266344928426,0.15761457107191632,0.27460454412871915,0.2696936167617768,0.38290990791675383,0.83421774114895,0.8344180098030979,0.8226267600442522,0.8459834650985639,0.826149389256718,0.84856750435816,-0.5618213368619149,-0.4931953463538136,,,,,,,,,,
AI,claude-haiku-4.5,Emotional_Stability,0.9358664157417714,0.9358113114769971,0.9301334787347825,0.9389398079907095,0.9294720649672237,0.9398688902094557,0.8828983639640605,0.8842305863598787,0.8667594165108478,0.8856689537024073,0.8726443228941885,0.8913948499670319,0.05296805177771091,0.05158072511711842,,,,,,,,,,
AI,claude-sonnet-4.6,Emotional_Stability,0.0018436705637251787,0.004384902744283229,-7.401486830834377e-16,8.635067969306774e-16,,,0.8828983639640605,0.8842305863598787,0.8667594165108478,0.8856689537024073,0.8726443228941885,0.8913948499670319,-0.8810546934003354,-0.8798456836155955,,,,,,,,,,
AI,deepseek-v3.2,Emotional_Stability,0.9641036018481424,0.9648497075811654,0.9618027226141113,0.9668007277475017,0.962036955393844,0.9673484879310077,0.8828983639640605,0.8842305863598787,0.8667594165108478,0.8856689537024073,0.8726443228941885,0.8913948499670319,0.08120523788408185,0.08061912122128667,,,,,,,,,,
AI,gemini-3-flash-preview,Emotional_Stability,0.7241289920557851,0.8032802695501637,0.6705828635960245,0.7188992344180579,0.7232682983244604,0.8381518740551478,0.8828983639640605,0.8842305863598787,0.8667594165108478,0.8856689537024073,0.8726443228941885,0.8913948499670319,-0.15876937190827545,-0.08095031680971498,,,,,,,,,,
AI,gemini-3.1-flash-lite-preview,Emotional_Stability,0.9093026936584666,0.9168277297974529,0.88884475602371,0.9093707216363218,0.8982992248716622,0.9183686989295607,0.8828983639640605,0.8842305863598787,0.8667594165108478,0.8856689537024073,0.8726443228941885,0.8913948499670319,0.026404329694406092,0.03259714343757414,,,,,,,,,,
AI,gpt-5.4,Emotional_Stability,0.9808868846095431,0.9850902568993595,0.9793766221587,0.9811784537888666,0.9836005965201016,0.9856284845742788,0.8828983639640605,0.8842305863598787,0.8667594165108478,0.8856689537024073,0.8726443228941885,0.8913948499670319,0.09798852064548258,0.10085967053948075,,,,,,,,,,
AI,gpt-5.4-mini,Emotional_Stability,0.9566676554407455,0.9659980600473808,0.9447826213624854,0.9591470211399364,0.9572674561189372,0.9690114824702448,0.8828983639640605,0.8842305863598787,0.8667594165108478,0.8856689537024073,0.8726443228941885,0.8913948499670319,0.07376929147668498,0.08176747368750203,,,,,,,,,,
AI,gpt-5.4-nano,Emotional_Stability,0.9262278654148001,0.9328668291649326,0.9215920451932754,0.9303063685289742,0.9292575483436624,0.9366602084994177,0.8828983639640605,0.8842305863598787,0.8667594165108478,0.8856689537024073,0.8726443228941885,0.8913948499670319,0.04332950145073955,0.04863624280505385,,,,,,,,,,
AI,claude-haiku-4.5,Extraversion,0.9426517765593131,0.9766432926241734,0.9239911550820862,0.9474489897338053,0.9733926581047628,0.9779305939705016,0.9077708834721376,0.9086292156654785,0.9004360190009201,0.913560782297276,0.8961178725022649,0.9106381853761177,0.03488089308717546,0.06801407695869488,,,,,,,,,,
AI,claude-sonnet-4.6,Extraversion,0.0007793126213470923,0.638540459692716,-2.4671622769447924e-16,3.7007434154171886e-16,,,0.9077708834721376,0.9086292156654785,0.9004360190009201,0.913560782297276,0.8961178725022649,0.9106381853761177,-0.9069915708507905,-0.2700887559727625,,,,,,,,,,
AI,deepseek-v3.2,Extraversion,0.9294253651953688,0.9334436482386582,0.9251587892317957,0.9345578511737246,0.928439720664008,0.9385271013098295,0.9077708834721376,0.9086292156654785,0.9004360190009201,0.913560782297276,0.8961178725022649,0.9106381853761177,0.021654481723231145,0.024814432573179723,,,,,,,,,,
AI,gemini-3-flash-preview,Extraversion,0.9697176809281399,0.9805419050841792,0.9685654740890806,0.9702746936395147,0.9792072763765378,0.9811752343289604,0.9077708834721376,0.9086292156654785,0.9004360190009201,0.913560782297276,0.8961178725022649,0.9106381853761177,0.06194679745600229,0.07191268941870066,,,,,,,,,,
AI,gemini-3.1-flash-lite-preview,Extraversion,0.973692071811679,0.9849812361504757,0.9729703727475332,0.9751965957321576,0.9840559188062865,0.9859989645272069,0.9077708834721376,0.9086292156654785,0.9004360190009201,0.913560782297276,0.8961178725022649,0.9106381853761177,0.06592118833954141,0.07635202048499723,,,,,,,,,,
