model,trait,human_n,ai_n,human_mean,ai_mean,human_sd,ai_sd,mean_diff_human_minus_ai,welch_t,p_value,hedges_g,ci_low,ci_high,p_fdr
gpt-5.4-mini,Conscientiousness,500703,10000,3.349078595494735,3.99629,0.7337257638320747,0.12302336922283297,-0.6472114045052653,-402.2608794333676,0.0,-0.8906018026147114,-0.6503649899672143,-0.644057819043318,0.0
gpt-5.4-nano,Conscientiousness,500703,10000,3.349078595494735,3.9902699999999998,0.7337257638320747,0.11277233197857524,-0.6411914045052649,-418.5383869349917,0.0,-0.8823574568059072,-0.644194133541379,-0.6381886754691508,0.0
claude-haiku-4.5,Emotional_Stability,500703,10000,2.920191810314697,3.23017,0.8566291982451574,0.31916290134625547,-0.3099781896853031,-90.80917661581437,0.0,-0.36494732633668714,-0.31666916899821107,-0.3032872103723996,0.0
claude-sonnet-4.6,Emotional_Stability,500703,10000,2.920191810314697,3.5003800000000003,0.8566291982451574,0.0076066672162395784,-0.5801881896853032,-478.31112922217363,0.0,-0.6840198770257332,-0.5825656185511413,-0.577810760819465,0.0
deepseek-v3.2,Emotional_Stability,500703,10000,2.920191810314697,3.5156199999999997,0.8566291982451574,0.792737572520622,-0.5954281896853026,-74.24958178446546,0.0,-0.6960609797035895,-0.611147506836499,-0.5797088725341063,0.0
gemini-3-flash-preview,Emotional_Stability,500703,10000,2.920191810314697,4.04205,0.8566291982451574,0.15645205407575344,-1.1218581896853026,-567.109451002437,0.0,-1.3221890136650485,-1.1257355832406961,-1.1179807961299233,0.0
gemini-3.1-flash-lite-preview,Emotional_Stability,500703,10000,2.920191810314697,3.57982,0.8566291982451574,0.3027340951945111,-0.6596281896853027,-202.31366836484932,0.0,-0.7767092444791975,-0.6660190771406966,-0.653237302229914,0.0
gpt-5.4,Emotional_Stability,500703,10000,2.920191810314697,3.03683,0.8566291982451574,0.7389581564714619,-0.11663818968530304,-15.576495426116052,4.20631288194421e-54,-0.13650161574768338,-0.13131626026061605,-0.10196011910999891,4.547365277777524e-54
gpt-5.4-mini,Emotional_Stability,500703,10000,2.920191810314697,3.8933399999999994,0.8566291982451574,0.2596119878557688,-0.9731481896853023,-339.72614271816286,0.0,-1.146254985671099,-0.9787629808180225,-0.9675333985525802,0.0
gpt-5.4-nano,Emotional_Stability,500703,10000,2.920191810314697,3.1971700000000003,0.8566291982451574,0.467059745193865,-0.2769781896853032,-57.405518604759585,0.0,-0.3255820487599747,-0.2864359038677797,-0.2675204755028258,0.0
claude-haiku-4.5,Extraversion,500703,10000,2.9197044954793556,3.01032,0.9126048044052547,0.2181289885035058,-0.09061550452064449,-35.75923848326394,1.0666026207017316e-270,-0.10022249690487506,-0.09558247154257228,-0.08564853749873357,1.2189744236591218e-270
claude-sonnet-4.6,Extraversion,500703,10000,2.9197044954793556,2.82436,0.9126048044052547,0.043275601414281696,0.09534449547935564,70.08665601869208,0.0,0.10551062038371639,0.09267819087215061,0.09801080008659087,0.0
deepseek-v3.2,Extraversion,500703,10000,2.9197044954793556,3.4308199999999998,0.9126048044052547,0.6294598871850037,-0.5111155045206441,-79.54651693241144,0.0,-0.5629581126713484,-0.5237103952068477,-0.4985206138344388,0.0
gemini-3-flash-preview,Extraversion,500703,10000,2.9197044954793556,3.1713,0.9126048044052547,0.5326900467143973,-0.2515955045206444,-45.904843935220725,0.0,-0.27748577520254025,-0.26233884570844235,-0.24085216333284024,0.0
gemini-3.1-flash-lite-preview,Extraversion,500703,10000,2.9197044954793556,3.01087,0.9126048044052547,0.627032822199932,-0.09116550452064454,-14.241068961317845,1.3096333686852556e-45,-0.1004160875030756,-0.10371379129509212,-0.07861721774620495,1.3785614407213218e-45
gpt-5.4,Extraversion,500703,10000,2.9197044954793556,2.3908499999999995,0.9126048044052547,0.4018176492419468,0.5288544954793561,125.31851211388515,0.0,0.5841272391315325,0.5205824620299244,0.5371265289287905,0.0
gpt-5.4-mini,Extraversion,500703,10000,2.9197044954793556,3.7445399999999993,0.9126048044052547,0.39888858044566905,-0.8248355045206437,-196.75466488220908,0.0,-0.9110679514658679,-0.8330528869984004,-0.8166181220428825,0.0
gpt-5.4-nano,Extraversion,500703,10000,2.9197044954793556,2.8861899999999996,0.9126048044052547,0.6291167321620597,0.03351449547935603,5.21869692463748,1.8351162540255754e-07,0.03691407075115145,0.020926194413635663,0.04610279654508351,1.8351162540255754e-07
claude-haiku-4.5,Openness,500703,10000,3.9597118451457254,3.8787499999999993,0.6027176398621996,0.11543296746162986,0.08096184514572613,56.43627516493926,0.0,0.13561275712690551,0.07814999407098644,0.08377369622046049,0.0
claude-sonnet-4.6,Openness,500703,10000,3.9597118451457254,3.9028099999999992,0.6027176398621996,0.016826533012516947,0.05690184514572616,65.53745440340299,0.0,0.09534592153559988,0.055200133705704583,0.05860355658574241,0.0
deepseek-v3.2,Openness,500703,10000,3.9597118451457254,4.408510000000001,0.6027176398621996,0.3003224920979546,-0.4487981548542752,-143.76821571499576,0.0,-0.7501639882043458,-0.45491716697197676,-0.4426791427365763,0.0
gemini-3-flash-preview,Openness,500703,10000,3.9597118451457254,4.8175099999999995,0.6027176398621996,0.14690322649892895,-0.8577981548542741,-505.14917223660365,0.0,-1.4365038663506744,-0.8611266127319063,-0.854469696976666,0.0
gemini-3.1-flash-lite-preview,Openness,500703,10000,3.9597118451457254,4.15276,0.6027176398621996,0.2347166197548843,-0.1930481548542744,-77.31391383296624,0.0,-0.3229893146995094,-0.19794252883350252,-0.18815378087504717,0.0
gpt-5.4,Openness,500703,10000,3.9597118451457254,4.29988,0.6027176398621996,0.2261439800436241,-0.34016815485427454,-140.7670794847162,0.0,-0.5691977550560599,-0.34490491051065114,-0.33543139919790416,0.0
gpt-5.4-mini,Openness,500703,10000,3.9597118451457254,3.98181,0.6027176398621996,0.15911837029575363,-0.022098154854274465,-12.243952217682693,2.5493005957042542e-34,-0.037002676512358675,-0.02563580019339483,-0.018560509515161205,2.614667277645389e-34
gpt-5.4-nano,Openness,500703,10000,3.9597118451457254,3.9849099999999997,0.6027176398621996,0.10351020885078743,-0.025198154854274346,-18.79751056379426,2.418102116171703e-78,-0.042210454587888156,-0.027825610269289817,-0.02257069943926154,2.6867801290796696e-78
